ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
298, 98, (-30.3;7.5;-21.4),["None": 1.00],["Temporal_Pole_Sup_L": 0.72]["Insula_L": 0.12],["Left Temporal Pole": 0.81],["Left Superior Temporal Gyrus": 0.70]["Left Uncus": 0.17],["Left Temporal Pole": 0.65]["Left Frontal Orbital Cortex": 0.18]["Left Insular Cortex": 0.11]
299, 106, (29.3;-15.5;-14.5),["None": 1.00],["Hippocampus_R": 0.63]["ParaHippocampal_R": 0.24],["Right Hippocampus": 0.59]["Right ParaHippocampal Gyrus": 0.38],["Right Parahippocampal Gyrus": 0.89],["Right Hippocampus": 0.70]["Right Amygdala": 0.12]["Right Putamen": 0.11]
300, 87, (3.4;-39.6;-16.0),["None": 1.00],["Vermis_3": 0.37]["Vermis_1_2": 0.23]["Cerebelum_3_R": 0.20],["Cerebellar Vermis": 0.39]["Cerebellar Vermis": 0.36]["Left Cerebellum": 0.13],["Right Culmen": 0.51]["Right Cerebellar Lingual": 0.18]["None": 0.16]["Left Culmen": 0.11],["None": 1.00]
301, 106, (-28.7;-72.3;-35.9),["None": 0.92],["Cerebelum_Crus2_L": 0.52]["Cerebelum_Crus1_L": 0.46],["Left Cerebellum": 0.74]["Left Cerebellum": 0.20],["Left Inferior Semi-Lunar Lobule": 0.85]["Left Pyramis": 0.13],["None": 1.00]
302, 131, (50.6;-30.0;19.7),["None": 0.98],["Temporal_Sup_R": 0.55]["SupraMarginal_R": 0.27]["Rolandic_Oper_R": 0.18],["Right Superior Temporal Gyrus": 0.82]["Right Rolandic Operculum": 0.11],["Right Superior Temporal Gyrus": 0.34]["Right Inferior Parietal Lobule": 0.29]["Right Insula": 0.18]["Right Transverse Temporal Gyrus": 0.11],["Right Parietal Operculum Cortex": 0.58]["Right Planum Temporale": 0.38]
303, 127, (-5.2;-1.5;45.4),["None": 0.93],["Cingulum_Mid_L": 0.67]["Supp_Motor_Area_L": 0.33],["Left Middle Cingulate Cortex": 0.73]["Left SMA": 0.27],["Left Cingulate Gyrus": 0.52]["Left Medial Frontal Gyrus": 0.35],["Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.43]["Left Cingulate Gyrus; anterior division": 0.33]["Right Cingulate Gyrus; anterior division": 0.12]
304, 106, (29.1;-4.5;53.2),["None": 1.00],["Precentral_R": 0.44]["Frontal_Mid_R": 0.29]["Frontal_Sup_R": 0.26],["RightPrecentral Gyrus": 0.53]["Right Superior Frontal Gyrus": 0.27]["Right Middle Frontal Gyrus": 0.20],["Right Middle Frontal Gyrus": 0.84]["Right Precentral Gyrus": 0.15],["Right Precentral Gyrus": 0.54]["Right Middle Frontal Gyrus": 0.20]["Right Superior Frontal Gyrus": 0.17]
305, 142, (-57.5;-10.3;10.6),["None": 0.97],["Temporal_Sup_L": 0.39]["Rolandic_Oper_L": 0.33]["Postcentral_L": 0.18],["Left Superior Temporal Gyrus": 0.44]["Left Rolandic Operculum": 0.30]["Left Postcentral Gyrus": 0.18],["Left Superior Temporal Gyrus": 0.41]["Left Precentral Gyrus": 0.34]["Left Transverse Temporal Gyrus": 0.15],["Left Central Opercular Cortex": 0.50]["Left Precentral Gyrus": 0.15]["Left Planum Temporale": 0.12]
306, 128, (26.2;24.5;50.2),["None": 0.90],["Frontal_Sup_R": 0.53]["Frontal_Mid_R": 0.47],["Right Middle Frontal Gyrus": 0.54]["Right Superior Frontal Gyrus": 0.46],["Right Superior Frontal Gyrus": 0.74]["Right Middle Frontal Gyrus": 0.25],["Right Middle Frontal Gyrus": 0.51]["Right Superior Frontal Gyrus": 0.48]
307, 117, (33.5;16.0;-7.3),["None": 0.99],["Insula_R": 0.68]["Putamen_R": 0.24],["Right Insula Lobe": 0.69]["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.25],["Right Inferior Frontal Gyrus": 0.74]["Right Insula": 0.19],["Right Insular Cortex": 0.61]["Right Frontal Orbital Cortex": 0.32]
308, 144, (30.1;-73.3;33.8),["None": 0.88]["occipital": 0.11],["Occipital_Mid_R": 0.53]["Occipital_Sup_R": 0.47],["Right Middle Occipital Gyrus": 0.51]["Right Superior Occipital Gyrus": 0.49],["Right Precuneus": 0.52]["Right Cuneus": 0.23]["Right Superior Occipital Gyrus": 0.13],["Right Lateral Occipital Cortex; superior division": 1.00]
309, 41, (18.4;-26.1;-11.4),["None": 1.00],["ParaHippocampal_R": 0.46]["Hippocampus_R": 0.39]["None": 0.15],["Right ParaHippocampal Gyrus": 0.71]["Right Cerebellum": 0.15],["Right Parahippocampal Gyrus": 0.44]["Right Culmen": 0.32]["None": 0.20],["Right Parahippocampal Gyrus; posterior division": 0.54]["Right Hippocampus": 0.27]["None": 0.20]
310, 96, (17.4;-41.1;-27.5),["None": 1.00],["None": 0.40]["Cerebelum_4_5_R": 0.38]["Cerebelum_3_R": 0.19],["None": 0.42]["Right Cerebellum": 0.24]["Right Cerebellum": 0.13]["Right Cerebellum": 0.11],["Right Cerebellar Tonsil": 0.43]["Right Culmen": 0.34]["None": 0.22],["None": 0.96]
312, 68, (-49.5;-7.9;-30.4),["None": 1.00],["Temporal_Inf_L": 0.93],["Left Inferior Temporal Gyrus": 0.87]["Left Middle Temporal Gyrus": 0.13],["Left Inferior Temporal Gyrus": 0.97],["Left Inferior Temporal Gyrus; anterior division": 0.51]["Left Middle Temporal Gyrus; anterior division": 0.22]["Left Inferior Temporal Gyrus; posterior division": 0.21]
313, 62, (31.7;4.3;-36.0),["None": 1.00],["Temporal_Pole_Mid_R": 0.52]["ParaHippocampal_R": 0.19]["Fusiform_R": 0.15]["Temporal_Inf_R": 0.13],["Right Medial Temporal Pole": 0.56]["Right Inferior Temporal Gyrus": 0.23],["Right Superior Temporal Gyrus": 0.47]["Right Uncus": 0.23]["Right Middle Temporal Gyrus": 0.23],["Right Temporal Pole": 0.71]["Right Parahippocampal Gyrus; anterior division": 0.18]
314, 105, (-57.8;-45.4;23.6),["None": 0.84]["parietal": 0.12],["SupraMarginal_L": 0.60]["Temporal_Sup_L": 0.30],["Left Superior Temporal Gyrus": 0.56]["Left SupraMarginal Gyrus": 0.26]["Left Middle Temporal Gyrus": 0.18],["Left Superior Temporal Gyrus": 0.40]["Left Inferior Parietal Lobule": 0.34]["Left Supramarginal Gyrus": 0.26],["Left Supramarginal Gyrus; posterior division": 0.61]["Left Parietal Operculum Cortex": 0.19]["Left Angular Gyrus": 0.11]
315, 89, (-6.2;-54.7;-35.3),["None": 1.00],["Cerebelum_9_L": 0.63]["Cerebelum_8_L": 0.21]["Vermis_9": 0.12],["Left Cerebellum": 0.72]["Left Cerebellum": 0.21],["Left Cerebellar Tonsil": 0.80]["Left Inferior Semi-Lunar Lobule": 0.11],["None": 1.00]
316, 162, (-6.2;6.4;66.1),["None": 1.00],["Supp_Motor_Area_L": 0.99],["Left SMA": 0.93],["Left Superior Frontal Gyrus": 0.69]["None": 0.18]["Left Medial Frontal Gyrus": 0.14],["Left Superior Frontal Gyrus": 0.56]["Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.31]
317, 127, (51.8;-17.0;11.4),["None": 0.97],["Rolandic_Oper_R": 0.48]["Temporal_Sup_R": 0.35]["Heschl_R": 0.17],["Right Superior Temporal Gyrus": 0.50]["Right Rolandic Operculum": 0.26]["Right Heschls Gyrus": 0.22],["Right Superior Temporal Gyrus": 0.44]["Right Postcentral Gyrus": 0.19]["Right Transverse Temporal Gyrus": 0.17]["Right Precentral Gyrus": 0.11],["Right Central Opercular Cortex": 0.42]["Right Heschl's Gyrus (includes H1 and H2)": 0.32]["Right Planum Temporale": 0.12]
318, 99, (-30.8;-85.6;-15.4),["None": 0.98],["Occipital_Inf_L": 0.35]["Cerebelum_Crus1_L": 0.34]["Lingual_L": 0.23],["Left Cerebellum": 0.41]["Left Lingual Gyrus": 0.27]["Left Fusiform Gyrus": 0.13]["Left Inferior Occipital Gyrus": 0.11],["Left Inferior Occipital Gyrus": 0.31]["Left Declive": 0.27]["Left Fusiform Gyrus": 0.15]["Left Tuber": 0.12],["Left Occipital Fusiform Gyrus": 0.43]["Left Lateral Occipital Cortex; inferior division": 0.30]["None": 0.22]
319, 102, (-55.1;-52.1;6.0),["None": 0.95],["Temporal_Mid_L": 0.96],["Left Middle Temporal Gyrus": 0.99],["Left Middle Temporal Gyrus": 0.86]["Left Superior Temporal Gyrus": 0.14],["Left Middle Temporal Gyrus; temporooccipital part": 0.88]["Left Supramarginal Gyrus; posterior division": 0.12]
320, 103, (46.9;36.4;15.6),["None": 0.96],["Frontal_Inf_Tri_R": 0.56]["Frontal_Mid_R": 0.44],["Right Inferior Frontal Gyrus (p. Triangularis)": 0.66]["Right Middle Frontal Gyrus": 0.34],["Right Inferior Frontal Gyrus": 0.50]["Right Middle Frontal Gyrus": 0.50],["Right Frontal Pole": 0.67]["Right Inferior Frontal Gyrus; pars triangularis": 0.23]
321, 116, (5.8;-78.9;-25.8),["None": 0.97],["Vermis_7": 0.38]["Cerebelum_Crus2_R": 0.27]["Cerebelum_Crus1_R": 0.18],["Cerebellar Vermis": 0.41]["Right Cerebellum": 0.38],["Right Pyramis": 0.43]["Right Uvula": 0.19],["None": 1.00]
322, 130, (37.8;-55.9;-17.6),["None": 0.97],["Fusiform_R": 0.64]["Cerebelum_6_R": 0.28],["Right Cerebellum": 0.44]["Right Fusiform Gyrus": 0.42]["Right Cerebellum": 0.13],["Right Culmen": 0.43]["Right Declive": 0.27]["Right Fusiform Gyrus": 0.22],["Right Temporal Occipital Fusiform Cortex": 0.78]["None": 0.12]["Right Occipital Fusiform Gyrus": 0.11]
323, 132, (39.1;-46.3;57.1),["None": 0.96],["Parietal_Inf_R": 0.45]["Parietal_Sup_R": 0.32]["Postcentral_R": 0.21],["Right Inferior Parietal Lobule ": 0.59]["Right Superior Parietal Lobule ": 0.30],["Right Inferior Parietal Lobule": 0.56]["Right Postcentral Gyrus": 0.23]["Right Superior Parietal Lobule": 0.14],["Right Superior Parietal Lobule": 0.82]["Right Angular Gyrus": 0.13]
324, 133, (9.7;-91.6;2.9),["None": 0.86]["post occipital": 0.14],["Calcarine_R": 0.53]["Calcarine_L": 0.35],["Left Calcarine Gyrus": 0.43]["Right Calcarine Gyrus": 0.38]["Right Lingual Gyrus": 0.17],["Right Lingual Gyrus": 0.59]["Right Cuneus": 0.41],["Right Occipital Pole": 0.59]["Right Intracalcarine Cortex": 0.26]["Right Lingual Gyrus": 0.13]
325, 125, (7.2;43.5;-1.0),["None": 0.86]["vmPFC": 0.14],["Frontal_Med_Orb_R": 0.39]["Cingulum_Ant_R": 0.38]["Frontal_Sup_Medial_R": 0.22],["Right Mid Orbital Gyrus": 0.67]["Right Anterior Cingulate Cortex": 0.22],["Right Anterior Cingulate": 0.56]["Right Medial Frontal Gyrus": 0.43],["Right Paracingulate Gyrus": 0.54]["Right Cingulate Gyrus; anterior division": 0.34]["Right Frontal Medial Cortex": 0.12]
326, 103, (-22.5;-85.5;31.0),["None": 0.99],["Occipital_Sup_L": 0.71]["Occipital_Mid_L": 0.26],["Left Superior Occipital Gyrus": 0.59]["Left Middle Occipital Gyrus": 0.41],["Left Cuneus": 0.77]["Left Precuneus": 0.13]["Left Superior Occipital Gyrus": 0.11],["Left Lateral Occipital Cortex; superior division": 0.92]
327, 143, (8.7;-74.9;42.1),["None": 0.87],["Precuneus_R": 0.62]["Cuneus_R": 0.25],["Right Cuneus": 0.41]["Right Precuneus": 0.32]["Left Cuneus": 0.20],["Right Precuneus": 0.74]["Right Cuneus": 0.16],["Right Precuneous Cortex": 0.64]["Right Cuneal Cortex": 0.20]["Right Lateral Occipital Cortex; superior division": 0.15]
328, 100, (14.6;-2.6;-12.1),["None": 1.00],["None": 0.32]["Hippocampus_R": 0.23]["ParaHippocampal_R": 0.18]["Amygdala_R": 0.12]["Pallidum_R": 0.12],["Right ParaHippocampal Gyrus": 0.30]["None": 0.24]["Right Hippocampus": 0.16]["Right Amygdala": 0.12],["Right Parahippocampal Gyrus": 0.38]["Right Uncus": 0.20]["Right Lentiform Nucleus": 0.15]["Right Subcallosal Gyrus": 0.14]["None": 0.12],["Right Amygdala": 0.50]["None": 0.16]["Right Pallidum": 0.11]
329, 115, (58.3;0.2;-11.5),["None": 1.00],["Temporal_Sup_R": 0.37]["Temporal_Mid_R": 0.33]["Temporal_Pole_Sup_R": 0.25],["Right Middle Temporal Gyrus": 0.46]["Right Medial Temporal Pole": 0.20]["Right Temporal Pole": 0.18]["Right Superior Temporal Gyrus": 0.16],["Right Middle Temporal Gyrus": 0.70]["Right Superior Temporal Gyrus": 0.23],["Right Superior Temporal Gyrus; anterior division": 0.47]["Right Middle Temporal Gyrus; anterior division": 0.30]["Right Temporal Pole": 0.17]
330, 89, (36.6;-27.5;-19.5),["None": 1.00],["Fusiform_R": 0.63]["ParaHippocampal_R": 0.25],["Right Fusiform Gyrus": 0.71]["Right ParaHippocampal Gyrus": 0.18],["Right Parahippocampal Gyrus": 0.55]["Right Fusiform Gyrus": 0.28]["Right Culmen": 0.17],["Right Temporal Fusiform Cortex; posterior division": 0.54]["Right Parahippocampal Gyrus; posterior division": 0.24]["Right Inferior Temporal Gyrus; posterior division": 0.13]
331, 120, (-47.2;-20.9;8.2),["None": 0.92],["Temporal_Sup_L": 0.63]["Rolandic_Oper_L": 0.13]["Heschl_L": 0.12],["Left Superior Temporal Gyrus": 0.64]["Left Middle Temporal Gyrus": 0.14]["Left Heschls Gyrus": 0.12],["Left Superior Temporal Gyrus": 0.60]["Left Insula": 0.17]["Left Transverse Temporal Gyrus": 0.16],["Left Heschl's Gyrus (includes H1 and H2)": 0.52]["Left Central Opercular Cortex": 0.17]["Left Planum Temporale": 0.15]
332, 156, (-11.1;-77.5;-9.3),["None": 0.94],["Lingual_L": 0.59]["Cerebelum_6_L": 0.29],["Left Lingual Gyrus": 0.46]["Left Cerebellum": 0.37]["Left Cerebellum": 0.11],["Left Declive": 0.45]["Left Lingual Gyrus": 0.42],["Left Lingual Gyrus": 0.73]["Left Occipital Fusiform Gyrus": 0.20]
333, 106, (16.3;-15.1;-19.2),["None": 1.00],["ParaHippocampal_R": 0.49]["None": 0.33]["Hippocampus_R": 0.18],["None": 0.43]["Right ParaHippocampal Gyrus": 0.42]["Right Hippocampus": 0.14],["Right Parahippocampal Gyrus": 0.62]["None": 0.31],["Right Hippocampus": 0.46]["Right Parahippocampal Gyrus; anterior division": 0.36]["None": 0.12]
334, 64, (-16.5;-4.3;67.5),["None": 1.00],["Frontal_Sup_L": 0.67]["Supp_Motor_Area_L": 0.30],["Left Superior Frontal Gyrus": 0.64]["Left SMA": 0.30],["Left Superior Frontal Gyrus": 0.47]["None": 0.25]["Left Middle Frontal Gyrus": 0.19],["Left Superior Frontal Gyrus": 0.92]
335, 84, (28.4;-84.2;-23.2),["None": 1.00],["Cerebelum_Crus1_R": 0.76],["Right Cerebellum": 0.87]["Right Cerebellum": 0.13],["Right Uvula": 0.46]["Right Tuber": 0.20]["Right Declive": 0.20],["None": 0.77]["Right Occipital Fusiform Gyrus": 0.18]
336, 150, (58.2;-1.7;3.0),["None": 0.98],["Temporal_Sup_R": 0.54]["Rolandic_Oper_R": 0.33]["Temporal_Pole_Sup_R": 0.11],["Right Superior Temporal Gyrus": 0.60]["Right Temporal Pole": 0.25]["Right Rolandic Operculum": 0.13],["Right Superior Temporal Gyrus": 0.83]["Right Precentral Gyrus": 0.11],["Right Planum Polare": 0.31]["Right Central Opercular Cortex": 0.25]["Right Superior Temporal Gyrus; anterior division": 0.19]
337, 108, (-25.7;-19.1;-15.2),["None": 1.00],["Hippocampus_L": 0.70]["ParaHippocampal_L": 0.22],["Left Hippocampus": 0.62]["Left ParaHippocampal Gyrus": 0.31],["Left Parahippocampal Gyrus": 0.93],["Left Hippocampus": 0.89]
338, 104, (41.0;25.2;-13.8),["None": 1.00],["Frontal_Inf_Orb_R": 0.81]["Temporal_Pole_Sup_R": 0.13],["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.78]["Right Temporal Pole": 0.22],["Right Inferior Frontal Gyrus": 0.64]["Right Superior Temporal Gyrus": 0.21]["Right Middle Frontal Gyrus": 0.12],["Right Frontal Orbital Cortex": 0.79]["Right Temporal Pole": 0.21]
339, 103, (-22.1;7.2;1.6),["None": 0.82]["basal ganglia": 0.18],["Putamen_L": 0.83]["Pallidum_L": 0.17],["Left Putamen": 0.84],["Left Lentiform Nucleus": 0.86]["Left Claustrum": 0.11],["Left Putamen": 0.91]
340, 66, (-15.4;-94.6;18.6),["None": 1.00],["Occipital_Sup_L": 0.56]["Occipital_Mid_L": 0.29]["Cuneus_L": 0.15],["Left Middle Occipital Gyrus": 0.53]["Left Superior Occipital Gyrus": 0.47],["Left Cuneus": 0.70]["Left Middle Occipital Gyrus": 0.30],["Left Occipital Pole": 0.88]["Left Lateral Occipital Cortex; superior division": 0.12]
341, 132, (50.3;-48.9;18.9),["None": 0.94],["Temporal_Mid_R": 0.46]["Temporal_Sup_R": 0.30]["Angular_R": 0.16],["Right Middle Temporal Gyrus": 0.72]["Right Superior Temporal Gyrus": 0.25],["Right Superior Temporal Gyrus": 0.70],["Right Angular Gyrus": 0.55]["Right Supramarginal Gyrus; posterior division": 0.27]["Right Middle Temporal Gyrus; temporooccipital part": 0.16]
342, 151, (2.6;-68.2;19.4),["None": 0.97],["Calcarine_R": 0.30]["Calcarine_L": 0.23]["Cuneus_R": 0.16]["Cuneus_L": 0.13]["Precuneus_R": 0.12],["Left Calcarine Gyrus": 0.32]["Right Calcarine Gyrus": 0.27]["Left Cuneus": 0.22],["Right Precuneus": 0.30]["Right Posterior Cingulate": 0.23]["Right Cuneus": 0.19]["Left Posterior Cingulate": 0.15],["Right Precuneous Cortex": 0.36]["Right Intracalcarine Cortex": 0.25]["Right Cuneal Cortex": 0.13]
343, 95, (-52.4;2.3;-25.9),["None": 1.00],["Temporal_Mid_L": 0.67]["Temporal_Pole_Mid_L": 0.18]["Temporal_Inf_L": 0.13],["Left Middle Temporal Gyrus": 0.66]["Left Medial Temporal Pole": 0.27],["Left Middle Temporal Gyrus": 0.75]["Left Fusiform Gyrus": 0.13],["Left Temporal Pole": 0.56]["Left Middle Temporal Gyrus; anterior division": 0.41]
344, 121, (41.2;-34.4;44.4),["None": 0.99],["Postcentral_R": 0.45]["SupraMarginal_R": 0.34]["Parietal_Inf_R": 0.16],["Right SupraMarginal Gyrus": 0.41]["Right Inferior Parietal Lobule ": 0.27]["Right Postcentral Gyrus": 0.22],["Right Inferior Parietal Lobule": 0.53]["Right Postcentral Gyrus": 0.36],["Right Postcentral Gyrus": 0.36]["Right Supramarginal Gyrus; posterior division": 0.31]["Right Supramarginal Gyrus; anterior division": 0.19]["Right Superior Parietal Lobule": 0.13]
345, 150, (-46.0;-1.4;44.0),["None": 0.89],["Precentral_L": 0.94],["Left Precentral Gyrus": 0.93],["Left Precentral Gyrus": 0.70]["Left Middle Frontal Gyrus": 0.30],["Left Precentral Gyrus": 0.89]["Left Middle Frontal Gyrus": 0.11]
346, 124, (-48.0;-58.8;-20.4),["None": 1.00],["Temporal_Inf_L": 0.40]["Cerebelum_Crus1_L": 0.36]["Fusiform_L": 0.14],["Left Cerebellum": 0.49]["Left Inferior Temporal Gyrus": 0.44],["Left Tuber": 0.54]["Left Declive": 0.26]["Left Fusiform Gyrus": 0.16],["Left Inferior Temporal Gyrus; temporooccipital part": 0.58]["Left Temporal Occipital Fusiform Cortex": 0.23]
347, 100, (37.7;13.7;7.4),["None": 1.00],["Insula_R": 0.57]["Putamen_R": 0.19]["Frontal_Inf_Oper_R": 0.16],["Right Insula Lobe": 0.64]["Right Putamen": 0.16]["Right Inferior Frontal Gyrus (p. Triangularis)": 0.12],["Right Insula": 0.71]["Right Inferior Frontal Gyrus": 0.14]["Right Claustrum": 0.13],["Right Frontal Operculum Cortex": 0.43]["Right Insular Cortex": 0.40]
348, 134, (22.0;-58.9;5.0),["None": 0.92],["Calcarine_R": 0.52]["Lingual_R": 0.40],["Right Lingual Gyrus": 0.73]["Right Calcarine Gyrus": 0.25],["Right Lingual Gyrus": 0.54]["Right Posterior Cingulate": 0.19],["Right Lingual Gyrus": 0.61]["Right Intracalcarine Cortex": 0.21]["Right Precuneous Cortex": 0.13]
349, 82, (7.6;-51.3;-34.9),["None": 1.00],["Cerebelum_9_R": 0.66]["Vermis_9": 0.26],["Right Cerebellum": 0.66]["Cerebellar Vermis": 0.28],["Right Cerebellar Tonsil": 0.89],["None": 1.00]
350, 128, (-9.9;-34.1;-14.1),["None": 0.99],["Cerebelum_4_5_L": 0.30]["Cerebelum_3_L": 0.24]["None": 0.20]["ParaHippocampal_L": 0.14],["Left Cerebellum": 0.42]["Left Cerebellum": 0.25]["Left ParaHippocampal Gyrus": 0.13]["None": 0.11],["Left Culmen": 0.75]["None": 0.22],["None": 0.64]["Left Parahippocampal Gyrus; posterior division": 0.35]
351, 142, (-17.9;-63.6;4.4),["None": 0.98],["Lingual_L": 0.48]["Calcarine_L": 0.46],["Left Lingual Gyrus": 0.66]["Left Calcarine Gyrus": 0.29],["Left Lingual Gyrus": 0.69]["Left Posterior Cingulate": 0.17]["Left Cuneus": 0.11],["Left Lingual Gyrus": 0.49]["Left Intracalcarine Cortex": 0.35]["Left Precuneous Cortex": 0.15]
352, 155, (-0.1;-10.0;57.9),["None": 0.98],["Supp_Motor_Area_L": 0.58]["Supp_Motor_Area_R": 0.34],["Left SMA": 0.52]["Right SMA": 0.34],["Left Medial Frontal Gyrus": 0.55]["Right Medial Frontal Gyrus": 0.43],["Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.45]["Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.26]["Right Precentral Gyrus": 0.15]["Left Precentral Gyrus": 0.13]
353, 110, (-1.4;-88.8;16.2),["None": 0.85]["post occipital": 0.15],["Calcarine_L": 0.51]["Cuneus_L": 0.44],["Left Calcarine Gyrus": 0.63]["Left Cuneus": 0.32],["Left Cuneus": 0.64]["Right Cuneus": 0.35],["Right Occipital Pole": 0.25]["Left Cuneal Cortex": 0.17]["Right Supracalcarine Cortex": 0.15]["Left Occipital Pole": 0.15]["Left Intracalcarine Cortex": 0.13]["Right Cuneal Cortex": 0.12]
354, 125, (41.2;11.3;29.9),["None": 0.87]["dFC": 0.12],["Frontal_Inf_Oper_R": 0.49]["Frontal_Inf_Tri_R": 0.27]["Frontal_Mid_R": 0.14],["Right Inferior Frontal Gyrus (p. Opercularis)": 0.61]["Right Inferior Frontal Gyrus (p. Triangularis)": 0.38],["Right Middle Frontal Gyrus": 0.48]["Right Inferior Frontal Gyrus": 0.39]["Right Precentral Gyrus": 0.13],["Right Middle Frontal Gyrus": 0.44]["Right Precentral Gyrus": 0.34]["Right Inferior Frontal Gyrus; pars opercularis": 0.22]
355, 110, (-1.1;-53.9;64.0),["None": 1.00],["Precuneus_L": 0.67]["Precuneus_R": 0.33],["Left Precuneus": 0.67]["Right Precuneus": 0.33],["Left Precuneus": 0.45]["Right Precuneus": 0.22]["Left Postcentral Gyrus": 0.15]["Right Postcentral Gyrus": 0.11],["Right Precuneous Cortex": 0.54]["Left Precuneous Cortex": 0.45]
356, 97, (37.8;-50.9;43.5),["None": 0.90],["Parietal_Inf_R": 0.66]["Angular_R": 0.33],["Right Angular Gyrus": 0.53]["Right Inferior Parietal Lobule ": 0.42],["Right Inferior Parietal Lobule": 0.59]["Right Supramarginal Gyrus": 0.20],["Right Angular Gyrus": 0.47]["Right Superior Parietal Lobule": 0.36]["Right Supramarginal Gyrus; posterior division": 0.11]
357, 111, (18.6;-81.6;-31.3),["None": 0.83]["inf cerebellum": 0.17],["Cerebelum_Crus2_R": 0.59]["Cerebelum_Crus1_R": 0.41],["Right Cerebellum": 0.82]["Right Cerebellum": 0.18],["Right Pyramis": 0.40]["Right Inferior Semi-Lunar Lobule": 0.38]["Right Uvula": 0.12],["None": 1.00]
359, 105, (25.3;-30.1;66.2),["None": 0.93],["Precentral_R": 0.50]["Postcentral_R": 0.50],["Right Postcentral Gyrus": 0.72]["RightPrecentral Gyrus": 0.28],["Right Postcentral Gyrus": 0.53]["Right Precentral Gyrus": 0.33]["None": 0.13],["Right Postcentral Gyrus": 0.64]["Right Precentral Gyrus": 0.36]
360, 112, (-34.4;-46.6;57.1),["None": 0.96],["Parietal_Inf_L": 0.44]["Parietal_Sup_L": 0.30]["Postcentral_L": 0.26],["Left Inferior Parietal Lobule ": 0.61]["Left Superior Parietal Lobule ": 0.29]["Left Postcentral Gyrus": 0.11],["Left Inferior Parietal Lobule": 0.51]["Left Superior Parietal Lobule": 0.29],["Left Superior Parietal Lobule": 0.96]
361, 122, (34.5;-40.2;-20.8),["None": 0.96],["Fusiform_R": 0.70]["Cerebelum_4_5_R": 0.21],["Right Fusiform Gyrus": 0.42]["Right Cerebellum": 0.30]["Right Cerebellum": 0.28],["Right Culmen": 0.84]["Right Fusiform Gyrus": 0.16],["Right Temporal Occipital Fusiform Cortex": 0.59]["Right Temporal Fusiform Cortex; posterior division": 0.36]
362, 91, (-26.3;-94.3;-7.1),["None": 0.98],["Occipital_Inf_L": 0.74]["Occipital_Mid_L": 0.25],["Left Inferior Occipital Gyrus": 0.46]["Left Lingual Gyrus": 0.36]["Left Middle Occipital Gyrus": 0.12],["Left Inferior Occipital Gyrus": 0.58]["Left Lingual Gyrus": 0.30]["Left Fusiform Gyrus": 0.12],["Left Occipital Pole": 0.74]["Left Lateral Occipital Cortex; inferior division": 0.20]
363, 124, (-47.9;-38.1;18.8),["None": 0.85],["Temporal_Sup_L": 0.73]["SupraMarginal_L": 0.24],["Left Superior Temporal Gyrus": 0.83]["Left Middle Temporal Gyrus": 0.12],["Left Superior Temporal Gyrus": 0.59]["Left Inferior Parietal Lobule": 0.24]["Left Insula": 0.15],["Left Planum Temporale": 0.46]["Left Parietal Operculum Cortex": 0.43]
364, 92, (64.7;-39.7;4.0),["None": 1.00],["Temporal_Mid_R": 0.87]["Temporal_Sup_R": 0.13],["Right Middle Temporal Gyrus": 1.00],["Right Middle Temporal Gyrus": 0.79]["Right Superior Temporal Gyrus": 0.21],["Right Middle Temporal Gyrus; temporooccipital part": 0.52]["Right Middle Temporal Gyrus; posterior division": 0.22]["Right Superior Temporal Gyrus; posterior division": 0.17]
365, 61, (14.1;-2.5;17.6),["None": 1.00],["Caudate_R": 0.84]["Thalamus_R": 0.13],["Right Caudate Nucleus": 0.77]["Right Thalamus": 0.13],["Right Caudate": 0.64]["Right Thalamus": 0.26],["Right Caudate": 0.66]["Right Thalamus": 0.31]
366, 115, (-46.1;13.5;-4.5),["None": 0.93],["Temporal_Pole_Sup_L": 0.30]["Insula_L": 0.29]["Frontal_Inf_Orb_L": 0.25],["Left Temporal Pole": 0.40]["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.30]["Left Insula Lobe": 0.15]["Left Inferior Frontal Gyrus (p. Triangularis)": 0.14],["Left Superior Temporal Gyrus": 0.43]["Left Inferior Frontal Gyrus": 0.43]["Left Insula": 0.14],["Left Temporal Pole": 0.30]["Left Frontal Operculum Cortex": 0.23]["Left Insular Cortex": 0.17]["Left Frontal Orbital Cortex": 0.17]
367, 120, (35.0;-89.1;7.5),["None": 0.95],["Occipital_Mid_R": 1.00],["Right Middle Occipital Gyrus": 0.68]["Right Inferior Occipital Gyrus": 0.33],["Right Middle Occipital Gyrus": 0.97],["Right Lateral Occipital Cortex; inferior division": 0.39]["Right Occipital Pole": 0.36]["Right Lateral Occipital Cortex; superior division": 0.25]
